Review	Label
상담 대기 시간이 길지 않아 좋았습니다 	2
상담직원 불친절 말투 꽝	1
친절하게 상담해주셔서 감사드려요	1
무이자에 대한 혜택 서비스 많이 제공했으면 좋겠습니다	4
연회비가 나에게는 비싸다	9
친절하게  상담 잘 받고  감사합니다 	1
Sk 통신사 상담뭔의 태도가 신속 친절해서 칭찬할 만하다	21
4번 5번 내용은 나한텐 맞지 않고 상담사 연결이 어려워 힘듭니다 사람이 많아서 그렇겠지요 그래도 항상 친절한 상담에 감사드립니다	1
메인메뉴 넘어가기 전에 디지털 ars 안내가 가장 짜증 남	12
보이는 화면	0
골드회원 빠른 상담사 연결 감사합니다 	2
다른 카드사에서는 조금 더 적극적으로 친절하게 상담	21
친절하게 상담해줘서 감사합니다	1
KB카드사는 문의 내용에 대해 친절히 듣고 하는 말에 대해 다 경청 후 안내를 해서 기분 좋은 통화를 했었어요	21
친절한 상담 감사합니다  	1
스마트로 전화하니 보이는 화면으로 넘어가는데 상담원 통화 메뉴를 찾지 못해  불편하였음	12
상담원 연결이 어려워요  10번 이상 시도 해야 함	2
친절한 상담에 감사드립니다 	1
보이는 디지털 AS는 너무 불편하게 되어있으며 원하는 화면이 보이지도 않습니다 첫 화면에 보이는 ars와 음성 ars를 바로 볼 수 있어야지요   	12
친절상담 감사	1
오늘은 불만투성이	21
상담원 톤이 좋지 아니하네요	1
디지털 상담 메뉴가 복잡해서 도움이 안 되는 것 같음	12
어떤 때엔 상담사와 통화하기까지 대기시간이 길었어요	2
삼성카드 사용을 별로 하지 않아서 연회비가 부담스러워 해지할까 했는데  미리 알아서  연회비 면제 서비스를 해줘서  기분이 좋았습니다	9
친절하시네요 감사합니다 	1
KT는 상담사 응답이나 확인도가 빠르고 정확했어요  참고하세요 	21
신한카드사 직원분들은 친절하고 미리 예상해서 말씀해주셔서 대화가 편하고 좋습니다	21
고객 응대 시 고객이 원하는 바를 정확히 파악하여 빠른 처리 응대해주시면 더욱 좋겠습니다 	1
자세한 설명과 시간 좀 길게 대화하면서 설명을 해주셨으면 감사합니다	1
kt 직원분 설명을 잘해주시고 프로모션 설명도 잘해주셔서 좋아요	21
감사하게 생각합니다	21
Gs 상담은 정말 빠르게 처리 잘해주시고 다른 곳보다 신속 정확해서 실음이 가요	21
OOO 님 너무 친절하게 알려주셔서 감사합니다    	1
통화 대기 시간이 너무 길어요   	2
친절하게 상담 부탁드립니다 	1
통화연결 시까지  시간이  너무 길다	2
친절해주셔서 감사	1
카드 만들기가 힘들었다  친절이 조금 고프다	1
화면을 보고하는 게 익숙지 않아서 음성으로 하는 게 더 편합니다	12
너무 오래 기다리고 상담이 늦어져요	2
나이가 많은 사람들은 ARS 음성으로 바로 통화하기가 쉬운데 화면 보고 터치하는 게 쉽질 않습니다	12
친절한 설명 부탁드립니다	1
친절한 상담에 감사드립니다	1
아주 싼 저리의  상품 있다고 안내받는 전화받았을 때 매우 도움 되었습니다 감사합니다	16
무이자 혜택을 받는 데가 많이 없다	4
타 회사 하나은행의 경우가 있으나 기재하긴 너무 기네요  지금도 기억나는 최고의 친절직원이어서 기억이 많이 남네요	21
부가세 신고 시기에 맞게 바로 한 번에 연결 메뉴가 있어 너무 편했습니다  아이디어 낸 직원 꼭 포상해주세요  삼성카드 더 많이 애용하겠습니다 설문 5번 항목은 어쩔 수 없어서 1번 체크했습니다 	1
연회비 부담	9
힘든 시국에 상담원분들 고생해서 안쓰럽다	21
안내 없이 터치 화면  안내원 연결하는데 어려웠음	12
역시 삼성 맴입니다	20
삼성카드 앱이 많이 느려서 불편합니다	12
너무너무 친절 감사합니다	1
친절상담 감사	1
배송직원 매우  불친절 아주 많이  	8
친절하게 잘 받았습니다  감사합니다	1
화면 터치가 자꾸 실 수 되는 문제	12
고객 응대 시 말투가 상담 내내 거슬렸습니다 직원 교육 친절응대 이 절실하게 필요해 보입니다	1
보이는 ars 무의미	12
제휴 보험회사 연락이 안 왔으면 해요	16
상담직원 없이 터치하는 것 매우 불편	12
KT 직원들과 상담했을 때의 불쾌감을 잊을 수가 없습니다 친철한 상담은 금세 잊히지만 따듯한 느낌은 오래가는 것 같습니다 	21
국민카드 발급 상담 시 연회비 및 기타 사항들을 꼼꼼한 비교 설명으로 카드 발급 선택을 맞춤형 카드로 발급받을 수 있게 친절했었던 상담원이 지금 생각해도 감사하네요	21
  전화상담 좀 빠르게 되었으면 좋겠어요	2
톡 상담 인원을 늘려주세요 요즘 같은 때에는 전화상담보다 톡 상담이 더 신속하고 일처리가 빠른데 인원이 너무 적은 듯     매번 기다리다 일처리 못하고 그냥 지나간 적이 한두 번이 아닙니다	2
친절  감사합니다	1
연회비 너무 비싸요	9
연회비가 너무 비싸다 없음	9
00카드는 상담하면 기분이 나빠집니다  삼성은 좋아요  	20
많은 포인트 혜택을 주세요	4
보험상담하면서 골절되면 500만 원 준다고 사기 침	21
친절 감사합니다	1
상담 친절하시네요 감사합니다	1
전체적인 불편함과 불만은 없었습니다  상기 문항의 불편함도 없을 정도로 좋았습니다 	21
다른 카드사보다 더  업무가 편리해서 좋아요	20
다 카드사에  재산세  납부 문의를  했는데  답변을 잘해주었는데도  다시 상담사가  직접 전화까지  주면서  카드 사용 방법을  설명해주고  캐시까지  안내해줌 상담사가  직접 전화까지  주는 경우는  없는데  고맙더군요	21
상담한 직원분이 끝까지 책임지고 해결해 주시는 부분은 다 카드사에서는 보기 힘든데 삼성카드는 그렇지가 않네요  	20
없음 좀 더 친절했으면 좋겠음	1
친절하게  해주셨어 감사합니다 	1
Ars 연결 시 바로 연결 안 되고 화면으로 나와 오래 걸림 화면 또는 ars 선택 간단하게 좀 바뀌었으면  어르신들 화면 보기 어려움	12
삼성카드 상담 불편사항이 없음	20
화면 터치  불편해요	12
골드회원 전용 상담제도	2
상담원과 상담 전엔 ARS 안내가 너무 길어서 불편합니다 	12
눌 친절하고 상담에 감사합니다	1
친절에 감사드립니다   	1
친절상담 감사합니다	1
상담원 설명 천천히 정확하게 설명해주길 부탁합니다  감사합니다	1
통화대기 빨라 스먼 좋아요	2
보험 안내해서 해지 했음	16
상담사와 통화대기시간이 너무 길어요	2
상담사와 연결 부분이  어려웠어요	2
좀 더 친절했으면 좋겠다	1
주말이나 공휴일에도 급한 업무를 처리할 수 있게  비상 상담원 배치 필요합니다 	2
친절이죠 감사합니다	1
Sk Telecom의 친절과 전문성	21
가끔 친절하지 안거나 빨리 끈으려 하거나 할 때	1
친절하게 도와주셔서 감사합니다	1
친절해서 감사합니다	1
ARS 연결이 너무 느려서 복잡하고 해서 연세가 많으싴 어르신들은 이용 못할 거 같음 친절한 상	12
친절한 세서 감사합니다	1
친절하시고 빠르세요 감사합니다	1
다른 카드사의 경우 삼성카드사 보다  통화대기시간이 짧다 	2
매우 친절하셨습니다 감사합니다	1
친절한  상담에 감사드립니다 	1
조금만 빨리 처리했으면 좋겠다 조금 친절	1
친절에 감사	1
친절한 상담 감사드립니다    	1
짧은 통화연결 대기시간	2
상담사와 연결하는 과정이 너무 시간이 걸립니다	12
통화연결 대기시간이 길다	2
친절에 감사	1
친절한 상담 감사합니다    	1
시스템 문제   직원 문제는 없음	20
친절하게 상담해주셔 감사합니다	1
직원들에게 기초적인 발성법 교육을 시켜 표준어를 정확하게 발음하는 훈련을 시켰으면 합니다 	1
상담원 연결까지 시간이 너무 걸린다	2
상담 감사해요	21
삼성전자 설치기사님들에 신속함에 감사합니다 	21
응대 감사	21
친절하고 만족스러운 상담이었습니다 감사합니다	1
두 번이나 같은 내용으로 상담을 했지만 각각 다른 상담원  제대로 처리가 되지 않음	1
상담 감사요  	21
상담원과 연결하기가 복잡합니다 편리하게 상담원과 연결을 원합니다	12
짜증 없이 친절한 응대 부탁	1
친절한 상담 감사합니다   	1
친절하고 배려심 있는 상담에 감사합니다	1
화면을 구현하는 ars	0
친절도 매 유부족	1
고객의 입장에서 상담을 해주었으면 좋겠다	1
상당원 친절도 형식적인 말투가 싫습니다	1
T  고객센터  상담원분들  상당히  친절합니다	21
연회비가 너무 비싸요	9
친절한 상담 감사드립니다	1
연결 대기시간이 너무 길음	2
곧바로 상담직원으로 넘어가는 단축키가 있었으면 합니다	12
대기시간 짧게 통화했으면 합니다	2
연회비 없는 카드가 있으면 좋겠어요   	9
친절하셨습니다 감사합니다 	1
친절하게 상담을 해주네요 감사합니다	1
홈페이지 정신없이 만들지 말고  광고나 질 그만하고 직관적으로 만들어서 상담 없이도 문제가 해결되면 상담 통화량이 30 프로 줄어들 것으로 생각됨	12
무이자 할부 많이 됐음 감사하겠습니다	4
친절하고    감사합니다	1
친절하게 상담해주셔서 감사했습니다	1
OOO 님 친절상담 감사합니다	1
친절하고 적극적 대응  성의 없게 영혼 없이 대답 No	1
친절하게 응해주셔 감사합니다	1
쳇봇 동문서답 답변 너무너무 짜증 나요  	12
직원 상담 시간 너무 지연됨 짜증 유발	2
너무 친절상담해주셔서 감사합니다	1
삼성카드가 제일 전문적이고 정확하다 	20
무이자 할부 자주 줬으면 좋겠다	4
연회비 비싸요	9
터치식 화면	0
친절한 상담 감사합니다	1
다른 회사 상담사분께 잘 몰라서 불안한 마음으로 문의했는데 내가 문의한 것에 대해 좋은 정보를 이야기해주어서  마음도 기쁘고 안심이 되었습니다	21
앱에서 내 카드 결제나 사용한도를 쉽게 알 수 있게끔 만들어주세요	12
상담원 입장으로만 상담하지 마시길	1
언행을 좀 친절하게 대응했으면 좋겠습니다 	1
삼성카드 톡 상담이 24시간인 줄 몰랐는데 너무 편리하네요 답장도 빠르게 주셨고요 매우 만족했습니다  	2
상담하시는 분들이 별로 친절하지가 않네요 좀 더 친절하게 응대 바랍니다	1
보이는 화면이 아니라 누르는 화면으로 상담하고 싶고 그게 더 전화상담하기까지 시간이 빠른데 누르는 화면으로 서비스 받으려면 보이는 화면 터치해달라고 할 때 15초 이상 듣고만 있어야 누르는 화면으로 넘어가서 너무 불편	12
상담원 통화연결이 빨리 되어 어 면합니다	2
말씀이 너무 빠르고 고객이 궁금해서 질문하는 도중 너무 말을 자르는 경향이 있습니다  불편했어요  	1
연회비 업으면 좋겠어요	9
상담원 연결까지 누르는 것도 많고 기다리는 것도 많았네요	12
마케팅 활용 전화 시 미리 보험이면 보험이라고 얘기를 하고 통화 지속 여부 확인하고 통화했으면 좋겠습니다	16
친절하게 상담해주셔서  감사합니다	1
늘 친절할 필요 없는데  벽이랑 대화하는 느낌이네요 이름 말할 때만 친절하십니다 박 상담사님  	1
4번 5번 문항 답변 불편한 게 없었는데 체크하라고 강요합니다 상담원분들 더우신데 고생하십니다 좋은 하루 보내세요	1
성의 없는 답변	1
상담원이 내용을 모르고 답변	1
VIP 전용 상담원이  있었으면	2
고객이 잘 못 들어 닷 질문하더라도  친절했으면 합니다	1
친절하게 상담 감사합니다	1
친절상담 감사합니다	1
쓸데없이 전화하지 않았으면 좋겠습니다 	16
상담직원과의 통화가 너무 힘들고 복잡함 	12
상담사와 통화 대기시간이 너무 길다	2
친절하게 해주셔 감사합니다	1
  카드를 통한 통신료 전환 방법 및 call 이 아니더라도 internet 을 처리가 가능하도록 해 주세요 	11
화면을 보고  터치하는 것도 편하지만 처음에 화면 터치를 할 것인지 음성메시지를 듣고 할 것인지 구분할 수 있게 해주셨으면 좋겠습니다	12
친절해서 감사합니다	1
스마트폰에 익숙하지 아니한 연령층의 간편하게 ARS 메인화면에 바로 상담직원 연결	12
친절했습니다 감사합니다	1
친절한 상담에 감사드립니다 	1
친절한 상담  감사합니다 	1
친절한 상담에 감사합니다	1
고객 전화에서  디지털에 취약한  고객들이 상담원 연결이  매우  불편하게 되어있음	12
친절상담 감사하네요	1
다 카드사는  상담원들이  기계적인 것이 아닌  친절하게 응대함 삼성카드는  말도 빠르고  너무 기계 제인 응대만 함 고객의  요청사항을 잘 인지하지 못하는지 응대가  고객과 호응하는  감정이 부족함	1
친절하게 상담 감사	1
상담원 연결이 바로 될 수 있도록 하면 참 좋을 거 같아요 상담원과 통화연결되기까지 너무 복잡합니다  	12
상담원 응대 아주 불친절	1
상담사분 친절에  감사드립니다	1
ars 상담직원 통화 찾기가 어려움	12
응대 감사했습니다  	21
친절한 상담 감사했습니다	1
Ars 연결하면 디지털로 넘어가 상담원 연결이 어려웠다	12
친절해서 감사요	1
디지털 ars 보이는 서비스 좋아요	12
대기시간이 너무 길다 통화만	2
삼성카드 플래티넘 데스크 상담은 최고라고 생각한다  이유는 24시간이며  그것이 너무 좋다 	2
주말에도 운영하였으면 합니다 	2
친절하세요   감사합니다 	1
전화가 너무 많이 걸 여옵니다	16
상담원이 설명 권한을 더 높여주세요 그래야 정확히 대답하지요	1
너무 친절해서 감사합니다	1
더욱더 발전한 신속한 상담 처리 기대합니다 3	1
응답속도가  신속하다는 것을 느끼곤  합니다  	2
궁금사항 너무 많아 시간이 걸렸음에도 끝까지 친절하게  자상하게  답해주신 일에 대해 감사함을 느낌  다른 회사 	21
다른 카드사는 부드럽고 친절하게 연체미납 카드비를  설명해줘서 무한 감사를 했다아 주 친절하게	21
상담원님 감사합니다 	21
통화대기시간이 넘길 다	2
친절이 감사한 것이 좋냈요	1
언제니 친절한 상담 감사합니다	1
친절상담 감사합니다  	1
문의한 내용에 대한 정확한 답변 처리가 더 필요해 보입니다 고객의 말에 집중해서 상담해주셨으면 해요	1
삼성카드 안내원이 제가 질문하는 내용에 대해 잘 모르시는 거 같습니다  정확한 답변 숙지 부탁드립니다   질문자 본인과  같이 질문 내용 답안 알았지 못하고 답변 아무렇게 하는 건 너무 성의가 없습니다   가끔씩 기본기 없는 상담원 전화응대는 답답함만 배가시킵니다  모르면 다른 상담원에게 질문 넘겼으면 합니다 	1
화면으로 터치하는 ars는 불편함	12
간단한 절차로 카드 앱을 사용하면 좋게 없니다	12
친절 감사합니다 	1
친절하게  감사합니다	1
친절하시네요 감사합니다	1
통화 연결 대기 시간이 너무 길지 않았으면 합니다 	2
상담원 연결이 정말 힘들었다 	2
듣고 있는데 그것도 모르냐는 식의 답변이 돌아올 때 내가 알면 상담직원 하지 상담받고 있을까요   	1
친절한 상담에 감사	1
ars 상담직원 너무 많이 기다려야 하는 불편해요	2
한화 생명  너무 신속   친절 	21
감사합니다  삼성카드 직원분	21
너무 친절해서 감사합니다	1
좋았습니다  다만 보험 전화 좀 그만하셨으면 좋겠습니다  이미 가입한 보험이 있는데도 삼성카드로 연락 자주 오고 있습니다  있다고 받았는데도 집요하게 연락 와서 힘들었습니다 	16
친절한  상담 감사합니다 	1
친절에 감사합니다 	1
한도 상향 잘 올려 주셔서 감사	10
친절하게 담 면해주셔  너무 감사요	1
하나카드 응대 시에는 매우 친절했어요     	21
처음에   화면을  보면서  상담 시    화면이   자꾸  움직이면서   무엇을 선택해서   문의해야   하는데   혼란스러웠다   이것은   반드시  개선해야  한다	12
상담직원과 통화할 때까지 너무 복잡함 선택 메뉴 좀 편했으면	12
화면 터치식에서 음성 ars로 돌아가는 버튼이 잘 찾아지지 않음	12
최초 연결 시 ai ars 연결 권유 없이 빨리 연결되면 좋겠어요	12
카드 배송 부분에서  배송처리업체  불성실한 대응과 배송직원의 약속 불이행이  전반적으로  카드의 첫 부분인데   그 부분이  아쉽다	8
친절한 상담 감사합니다   	1
주말 근무 좋아요	2
직원이 귀찮은 듯 내용을 회피하고  해결 방법을 상담원이 아닌 판매점 사원과 상담해서 해결하라고 하니 참말로 답답하다 	1
바로 통화연결 기능이 없어 불편함	12
친절한 상담  감사합니다	1
Skt에서 전화받으신 분이 잘 모르는 부분을 질문했어요  보통 담당하는 다른 부서로 넘기거나 할 텐데  본인이 직접 몇 시간 안에 그 건을 파악하고 공부를 해서 연락을 주시고 직접 안내를 해주시더라고요  상담자분이 뿌듯하게 안내해주시는 자신감 넘치는 안내를 들으며 저도 괜스레 기분이 좋았었네요  그만큼 회사에서 직원분을 위해 공부를 할 시간과 배려를 해줬으니 가능한 일이라 생각합니다 	21
친절한 상담   감사합니다	1
신한카드는 상담사 연결 시간은 짧아서 좋았습니다 반면 삼성카드는 넘기네요	2
화면으로 터치하니 너무 편하고 대기시간 짧아 너무 좋습니다	2
감사하고 친절하네요	1
친절에 감사합니다   	1
친절하고 감사합니다	1
통화가 너무 힘들어요  대기시간	2
실시간 채팅상담 만들어주세요	2
상담하려면 많이 기다려야 하는 게 불편합니다 	2
자세히 안내하고 이렇게 시간 끌지는 않습니다 대답도 애매모호하지 않고 정확하게 응대합니다	1
연회비가 부담스러워요	9
실시간 채팅 상담 좋아요	2
수시로 6개월 무이자 할부와 링크 혜택이 다른 카드와 구별되는 기능이 편리함	4
통화대기 연결이 빨리 되었으면	2
최근 삼성생명 상담 업무로 전화 이용 시 굉장히 편안하고 친절한 응대 서비스가 인상적이었습니다 물론 직원들마다 편차는 인정합니다만 짧은 시간 전달되는 상담원의 응대가 고객의 마음을 움직일 수 있다는 걸 기억해 주시길 바랍니다 	21
골드회원 연결 대만족	2
나 같이 메일이나 앱을 못하는 사람을 위해 비밀번호와 생년월일을 한 번만 입력해 놓으면 다음에는 비밀번호만 입력하면 안 될까 하고 충언 드립니다	12
이해하기 쉽게 설명해주시면 감사하겠습니다	1
감사합니다 친절하셔서	1
오늘 상담직원은 고객이 궁금한 사항을 바로 이해하지 못하고 같은 말을 반복하게 말하 친절하는 것처럼 보이나 동문서답인 것 같아	1
친절하게 감사합니다	1
친절한 상담  감사합니다   	1
신속	21
신한카드 가 좀 더 친절함	21
연회비 많다	9
정말 친절하셨습니다 감사합니다	1
너무 로봇같이 딱딱하며 기분이 안 좋았음	1
친절하고 기다리지 않게 하여 주기 바랍니다	1
LG 고객센터 상담 여직원은 고객 문의가 잘 해결될 때까지 끝까지 확인 전화해서 상담했던 게 기억에 남는다	21
상담직원과 통화하기가 힘들다	2
상담에 감사	21
상담까지 번호눌로야되는게넘먾아요	12
좋은 하루 보내세요	21
보앱으로 처리하려 먼 찾기가 너무 힘들다	12
국민카드사 상담 서비스 경험인데요 고객이 처리하고자 하는 내용을  정확히 모르니까 상세하게 알아서 다시 전화가 와 말해줬을 때 감동받았습니다 	21
ARS 이용 시 화면 터치 방식이 너무 힘듦	12
친절하셔서 감사했습니다	1
음성으로 상담을 받고 싶은데 카톡 상담 참으로 넘어가는 시스템 매우 불편함  	12
친절하게 상담해주셔서 감사합니다   	1
상담 시간이 길고 직원들 교육 필요함	1
상담 직원 빨 통화할 수 있어서 감사합니다	2
상담직원 통화가 없는 것처럼 되잇어서 답답하고 말이 너무 느림	1
복지포인트 사용이 너무 어려워요	14
100세 시대에 나이 든 상담자의 문의를 친절하고 불편함이 없이 상담해주는 직원과의 통회는 너무 고맙게  생각되는 다른 곳의 상담 시 느꼈던 마음입니다 	21
무이자 혜택 만족 긴 할부 만족 잘 쓰고 있습니다	4
상담원과의 통화대기시간이 너무 길다	2
친절한 상담 감사요	1
상담 직원과 연결이 좀  신속했으면 좋겠네요	2
상담직원이 너무 불친절하여 기분이 나빴습니다	1
휴일 상담 감사	2
친절하게 상담해주시니 감사합니다	1
감사합니다 너무 친절했습니다	1
친절하게 상담해주심 감사드립니다	1
통화대기시간이 너무 길어요	2
대기할 때  연결  시간   	2
너무 친절해주셔서 감사합니다	1
개인 정보 확인이 간편해서 좋았음	1
골드회원은 ars 빨리 연결	2
보이는 ARS 말고 기존 ARS 연결하는 방식이 먼저 나왔으면 좋겠네요	12
친절한 상담에 감사합니다 	1
연회비가 너무 비싸	9
친절한 상담 감사합니다   	1
친절하세요 감사합니다	1
연회비 부담	9
채팅상담을 통한 처리가 편한 줄 몰랐고 사용해보니 좋았다 	2
친절 감사요	1
자세한 설명이 매우 부족하다	1
친절한 상담해주셔서 감사합니다   	1
통화가 빨리 연결되기를	2
친절하다고 못 느낌	1
친절한 상담에 감사합니다 	1
상담사와 빠른 시간에 통화되었으면 합니다	2
화면 상담 서비스	0
상담 메뉴가  복잡하다	12
친절하지 않다	1
친절한  상담 감사합니다	1
친절 감사합니다 	1
친절하게 해주셔서 감사합니다	1
연회비가  너무 비싸고요	9
오키드 전담 콜센터 이용이 편리합니다	2
친절하게 잘해주셔서 감사합니다	1
친절에 감사드립니다	1
친절하지 않음	1
답변할 때 확실하게 알고 답변해줬으면 좋겠어 요전에 다른 상담사와 상담할 때 좀 그랬거든요	1
그다지   친절하지 않음	1
한화손해 보 럼 상담원분들은 정말 차분하고 정확하게 아주 만족스러운 상담을 하심	21
보이는 대기화면에 상담원 연결 표시가 파란색이지만 쉽게 한눈에 찾기가 힘듦	12
친절하게 답해줘서 감사합니다 	1
삼성카드사 고객 응대가 매우 불친절함	1
삼성카드는 그렇지 않겠지만 타 카드 회사는 보험회사와 연결되는 전화가 오는 경우가 많아서요 보험회사와의 연결은 없었으면 합니다 	16
상담원과의 통화대기시간이 좀 길었다	2
상담 감사해요       	21
잘 모르니까 상담 통화를 한 건데  짜증 내는 말투  답답하다는 말투로 상담을 받으니 기분이 나빴습니다 	1
친절한  상담 감사합니다	1
보이는 ars 사용에서 음성 ars와 동일한 메뉴가 보이면 좋겠습니다	12
친절하셔서 감사드립니다 	1
고마워요     	21
상담 연결 대기시간이 너무 길다	2
잘하고 있어 다른 불편사항은 없습니다	21
친절한 상담에  감사드립니다 	1
